Performance Statistics   2018-06-10 22:20:00 - 2018-06-10 22:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#init                                        24,0          24          24         0,0           1
loginWindow#inject                                      26,0          26          26         0,0           1
loginWindow#load                                       725,0         725         725         0,0           1
loginWindow#ready                                        0,0           0           0         0,0           1
loginWindow#uiPermissions                                2,0           2           2         0,0           1
loginWindow#xml                                         15,0          15          15         0,0           1
lookupWindowActions#inject                               0,0           0           0         0,0           1
lookupWindowActions#load                                27,0          27          27         0,0           1
lookupWindowActions#xml                                  3,0           3           3         0,0           1
mainWindow#init                                         37,0          37          37         0,0           1
mainWindow#inject                                       19,0          19          19         0,0           1
mainWindow#load                                        364,0         364         364         0,0           1
mainWindow#ready                                        13,0          13          13         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                          10,0          10          10         0,0           1
skillguard$Department.browse#init                       11,0          11          11         0,0           1
skillguard$Department.browse#inject                      6,0           6           6         0,0           1
skillguard$Department.browse#load                     1174,0        1174        1174         0,0           1
skillguard$Department.browse#ready                       0,0           0           0         0,0           1
skillguard$Department.browse#uiPermissions               0,0           0           0         0,0           1
skillguard$Department.browse#xml                         8,0           8           8         0,0           1
skillguard$Department.browse@departmentsDs              50,0          50          50         0,0           1
skillguard$Department.browse@parentDepartmentsDs       234,0          19         449       215,0           2
skillguard$Employee.browse#init                          1,0           1           1         0,0           1
skillguard$Employee.browse#inject                        3,0           3           3         0,0           1
skillguard$Employee.browse#load                        153,0         153         153         0,0           1
skillguard$Employee.browse#ready                         0,0           0           0         0,0           1
skillguard$Employee.browse#uiPermissions                 0,0           0           0         0,0           1
skillguard$Employee.browse#xml                           7,0           7           7         0,0           1
skillguard$Employee.browse@departmentsDs                14,0          13          15         1,0           2
skillguard$Employee.browse@employeesDs                  20,0          20          20         0,0           1

Performance Statistics   2018-06-10 22:22:00 - 2018-06-10 22:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2018-06-10 22:24:00 - 2018-06-10 22:26:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2018-06-10 22:26:00 - 2018-06-10 22:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#init                                         0,0           0           0         0,0           1
loginWindow#inject                                       0,0           0           0         0,0           1
loginWindow#load                                        14,0          14          14         0,0           1
loginWindow#ready                                        0,0           0           0         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                          6,0           6           6         0,0           1
mainWindow#init                                          0,0           0           0         0,0           1
mainWindow#inject                                        1,0           1           1         0,0           1
mainWindow#load                                         18,0          18          18         0,0           1
mainWindow#ready                                         9,0           9           9         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           2,0           2           2         0,0           1
skillguard$Employee.browse#init                          1,0           1           1         0,0           1
skillguard$Employee.browse#inject                        0,0           0           0         0,0           1
skillguard$Employee.browse#load                         23,0          23          23         0,0           1
skillguard$Employee.browse#ready                         0,0           0           0         0,0           1
skillguard$Employee.browse#uiPermissions                 0,0           0           0         0,0           1
skillguard$Employee.browse#xml                           1,0           1           1         0,0           1
skillguard$Employee.browse@departmentsDs                16,0          15          17         1,0           2
skillguard$Employee.browse@employeesDs                  20,0          20          20         0,0           1

Performance Statistics   2018-06-10 22:28:00 - 2018-06-10 22:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#init                                        24,0          24          24         0,0           1
loginWindow#inject                                      22,0          22          22         0,0           1
loginWindow#load                                       473,0         473         473         0,0           1
loginWindow#ready                                        0,0           0           0         0,0           1
loginWindow#uiPermissions                                2,0           2           2         0,0           1
loginWindow#xml                                         14,0          14          14         0,0           1

Performance Statistics   2018-06-10 22:30:00 - 2018-06-10 22:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2018-06-10 22:32:00 - 2018-06-10 22:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#init                                         1,0           1           1         0,0           1
loginWindow#inject                                       9,0           9           9         0,0           1
loginWindow#load                                        32,0          32          32         0,0           1
loginWindow#ready                                        0,0           0           0         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         10,0          10          10         0,0           1
mainWindow#init                                         17,5           0          35        17,5           2
mainWindow#inject                                        7,0           0          14         7,0           2
mainWindow#load                                        196,5          18         375       178,5           2
mainWindow#ready                                         9,0           9           9         0,0           2
mainWindow#uiPermissions                                 0,0           0           0         0,0           2
mainWindow#xml                                           4,0           0           8         4,0           2
skillguard$Employee.browse#init                          9,0           9           9         0,0           1
skillguard$Employee.browse#inject                        4,0           4           4         0,0           1
skillguard$Employee.browse#load                       1178,0        1178        1178         0,0           1
skillguard$Employee.browse#ready                         0,0           0           0         0,0           1
skillguard$Employee.browse#uiPermissions                 0,0           0           0         0,0           1
skillguard$Employee.browse#xml                          13,0          13          13         0,0           1
skillguard$Employee.browse@departmentsDs                44,0          24          64        20,0           2
skillguard$Employee.browse@employeesDs                 442,0         442         442         0,0           1

Performance Statistics   2018-06-10 22:34:00 - 2018-06-10 22:36:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
lookupWindowActions#inject                               0,0           0           0         0,0           2
lookupWindowActions#load                                 6,5           2          11         4,5           2
lookupWindowActions#xml                                  1,5           0           3         1,5           2
sec$Role.lookup#init                                     4,0           4           4         0,0           1
sec$Role.lookup#inject                                   5,0           5           5         0,0           1
sec$Role.lookup#load                                   123,0         123         123         0,0           1
sec$Role.lookup#ready                                    0,0           0           0         0,0           1
sec$Role.lookup#uiPermissions                            0,0           0           0         0,0           1
sec$Role.lookup#xml                                      6,0           6           6         0,0           1
sec$Role.lookup@rolesDs                                291,0         291         291         0,0           1
sec$User.browse#init                                    13,0          13          13         0,0           1
sec$User.browse#inject                                   4,0           4           4         0,0           1
sec$User.browse#load                                   167,0         167         167         0,0           1
sec$User.browse#ready                                    0,0           0           0         0,0           1
sec$User.browse#uiPermissions                            0,0           0           0         0,0           1
sec$User.browse#xml                                      8,0           8           8         0,0           1
sec$User.browse@usersDs                                 31,0          31          31         0,0           1
sec$User.edit#companion                                  9,0           9           9         0,0           1
sec$User.edit#init                                     100,0         100         100         0,0           1
sec$User.edit#inject                                     2,0           0           4         2,0           2
sec$User.edit#load                                     196,0         196         196         0,0           1
sec$User.edit#ready                                      0,0           0           0         0,0           1
sec$User.edit#setItem                                   66,0          66          66         0,0           1
sec$User.edit#uiPermissions                              0,0           0           0         0,0           1
sec$User.edit#xml                                        5,0           5           5         0,0           1
sec$User.edit.windowActions#load                         7,0           7           7         0,0           1
sec$User.lookup#init                                     0,0           0           0         0,0           1
sec$User.lookup#inject                                   1,0           1           1         0,0           1
sec$User.lookup#load                                    22,0          22          22         0,0           1
sec$User.lookup#ready                                    0,0           0           0         0,0           1
sec$User.lookup#uiPermissions                            0,0           0           0         0,0           1
sec$User.lookup#xml                                      8,0           8           8         0,0           1
sec$User.lookup@usersDs                                 32,0          32          32         0,0           1
windowActions#xml                                        4,0           4           4         0,0           1

Performance Statistics   2018-06-10 22:36:00 - 2018-06-10 22:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
lookupWindowActions#inject                               0,0           0           0         0,0           1
lookupWindowActions#load                                 4,0           4           4         0,0           1
lookupWindowActions#xml                                  1,0           1           1         0,0           1
sec$Role.lookup#init                                     0,0           0           0         0,0           1
sec$Role.lookup#inject                                   0,0           0           0         0,0           1
sec$Role.lookup#load                                    15,0          15          15         0,0           1
sec$Role.lookup#ready                                    0,0           0           0         0,0           1
